Domains,Industry,Class,Employees,Discover - Events,Discover - Overall Score,Discover - Event Count
sunpharma.com,Manufacturing,1,38000,,Good,0
fivebelow.com,Retail,1,6100,,Booster activated,0
cclind.com,Manufacturing,1,25300,"Type: *** Discover Insider ***Event: IT Manager of Cclind told us they were looking into 'SaaS CRM data within the next 3-6 months.Date: 21/09/2023Type: Expands FacilitiesEvent: Ccl Industries Corporation expands facilities to Novi, Michigan, United States.URL: https://packagingscotland.com/2023/09/ccl-to-open-new-production-plant-for-premium-labels-in-italy/Date: 10/09/2023Type: AcquiresEvent: Ccl Industries Corporation acquires Imprint Energy, Inc..URL: https://www.printedelectronicsnow.com/contents/view_online-exclusives/2023-09-11/mergers-and-acquisitions-in-the-printed-electronics-industry/?widget=trendingDate: 05/07/2023Type: AcquiresEvent: Ccl Industries Corporation acquired Made by Oomph for $6.94M on Jul 5th '23.URL: https://www.inkworldmagazine.com/contents/view_breaking-news/2023-07-06/ccl-industries-adds-bolt-on-acquisition-for-avery/Date: 05/07/2023Type: AcquiresEvent: Ccl Industries Corporation acquired Creaprint on Jul 6th '23.URL: https://www.packaging-gateway.com/news/ccl-acquires-creaprint-sl/Date: 18/06/2023Type: AcquiresEvent: Ccl Industries Corporation acquired Pouch Partners GmbH on Jun 19th '23.URL: https://www.inkworldmagazine.com/contents/view_breaking-news/2023-06-19/ccl-industries-announces-acquisition-in-flexible-pouches/",Good,5
wvumedicine.org,Hospitals & Physicians Clinics,1,25880,"Type: *** Discover Insider ***Event: Information Technology Manager of Wvumedicine, is interested in 2022 Data Protection Trends Executive Brief in United States.",Excellent,0
otis.com,Manufacturing,1,69000,"Type: *** Discover Insider ***Event: IT Business Systems Manager of Otis told us they were looking into 'Operational improvements within the next 9 - 12 months.Date: 26/10/2023Type: HiresEvent: Otis Canada Inc. hired Tom Bartlett as Board of Directors on Oct 27th '23.URL: https://www.prnewswire.com/news-releases/tom-bartlett-and-jill-brannon-appointed-to-otis-worldwide-corporation-board-of-directors-301966406.htmlDate: 11/10/2023Type: Recognized AsEvent: Otis Canada Inc. recognized as one of the World's Best Employers.URL: https://www.marketscreener.com/quote/stock/OTIS-WORLDWIDE-CORPORATIO-105026689/news/Otis-Named-One-of-the-World-s-Best-Employers-45051923/Date: 11/10/2023Type: LaunchesEvent: Otis Canada Inc. launches UpLift program.URL: https://seekingalpha.com/article/4640086-otis-worldwide-stock-strong-service-pricing-growth-offset-order-weaknessDate: 05/10/2023Type: Recognized AsEvent: Otis Canada Inc. recognized as No. 3 in MaxPreps Rankings, and No. 2 in the 6-man RPI.URL: https://www.yumapioneer.com/6-man-football-1a-volleyball-report/Date: 27/09/2023Type: HiresEvent: Otis Canada Inc. hired Miñarro Viseras as President, Otis Europe, Middle East and Africa on Sep 28th '23.URL: https://www.prnewswire.com/news-releases/otis-appoints-tracy-embree-president-otis-americas-and-enrique-minarro-viseras-as-president-otis-europe-middle-east-and-africa-301941327.html",Booster activated,5
costco.com,Retail,1,304000,"Type: *** Discover Insider ***Event: Director IT Business Services of Costco, is interested in ESG: Enterprise Data Protection at Scale with  and Cisco - whitepaper in United States.Date: 02/11/2023Type: Invests Into AssetsEvent: Costco invests into assets: 6.98 acre property in the amount of $13M in Allen, Texas, United States.URL: https://richmond.com/news/local/business/real-estate/commercial-real-estate-highlights-costco-purchases-glen-allen-property-for-13-million/article_50c293c4-79a3-11ee-b457-fbb91c4ddb45.htmlDate: 02/11/2023Type: Sells Assets ToEvent: Nnnreit sells assets to Costco in the amount of $13M.URL: https://richmond.com/news/local/business/real-estate/commercial-real-estate-highlights-costco-purchases-glen-allen-property-for-13-million/article_50c293c4-79a3-11ee-b457-fbb91c4ddb45.htmlDate: 27/10/2023Type: Partners WithEvent: Amazon Web Services, Hubspot, Inc partners with Costco.URL: https://www.alvareztg.com/costco-sesame/Date: 27/10/2023Type: Partners WithEvent: Costco partnered with Sesameorder on Sep 27th '23.URL: https://www.alvareztg.com/costco-sesame/Date: 27/10/2023Type: Partners WithEvent: Costco partners with Sesame HQ, Inc..URL: https://www.alvareztg.com/costco-sesame/",Good,5
selectmedical.com,Hospitals & Physicians Clinics,1,53800,"Type: *** Discover Insider ***Event: Director IT Administration of Selectmedical, is interested in Countering Ransomware with Lenovo and  - whitepaper in United States.Date: 07/09/2023Type: Opens New LocationEvent: Select Medical Corporation opened new location in South Woodlawn Avenue on Aug 8th '23.URL: https://www.stltoday.com/news/local/stcharles/new-hospital-specializing-in-treating-traumatic-brain-injuries-coming-to-o-fallon-mo/article_f9a81f42-4da5-11ee-abec-3fcaadb3f429.htmlDate: 16/05/2023Type: Partners WithEvent: Inova Medical Group partners with Select Medical Corporation.URL: https://www.inovanewsroom.org/press-release/2023/05/inova-opens-first-post-acute-care-hospital-in-region/Date: 21/02/2023Type: LaunchesEvent: Select Medical Corporation launched MyChart on Feb 1st '21.URL: https://finance.yahoo.com/news/global-medical-rehabilitation-services-market-113000671.htmlDate: 12/02/2023Type: HiresEvent: Select Medical Corporation hires Colleen Hickey as national director of outpatient pelvic health rehabilitation program.URL: https://www.ssmphysicaltherapy.com/why-choose-us/news-blog/colleen-hickey-appointed-national-director/Date: 16/01/2023Type: Files Suit AgainstEvent: Coffman Legal, LLC files suit against Select Medical Corporation.URL: https://www.mcoffmanlegal.com/unpaid-meal-break-case-against-select-medical/",Good,5
gfs.com,Retail,1,20000,"Type: *** Discover Insider ***Event: Manager of Gfs, is interested in 9 Reasons for Salesforce Backup and told us they were looking into 'No within the next No.Date: 06/07/2023Type: Closes Offices InEvent: Gordon Food Service closes offices in Dayton, Ohio, United States.URL: https://www.bizjournals.com/dayton/news/2023/07/06/gordon-food-service-trotwood.htmlDate: 21/04/2023Type: Partners WithEvent: Square Roots, LLC partnered with Gordon Food Service on Jul 15th '19.URL: http://www.globallegalchronicle.com/square-roots-in-establishing-a-strategic-partnership-with-gordon-food-service/Date: 03/03/2023Type: LaunchesEvent: Gordon Food Service launches Gordon Culinary Pro.URL: https://www.getmeez.com/blog/meez-partnership-gordon-food-serviceDate: 07/02/2023Type: Opens New LocationEvent: Gordon Food Service opens new location in Katy, Texas, United States.URL: https://coveringkaty.com/business/gordon-food-service-store-to-open-in-katy/Date: 07/02/2023Type: Opens New LocationEvent: Gordon Food Service opens new location in Houston, Texas, United States.URL: https://blog.providencegrouprealty.com/2023/03/16/gordon-food-service-opening-six-new-stores-in-houston-area/",Excellent,5
acosta.com,Business Services,1,20000,"Type: *** Discover Insider ***Event: Vice President And Chief Information Security Officer of Acosta, is interested in Modern Data Protection Guide for Enterprise Modernization in United States.Date: 07/03/2023Type: AcquiresEvent: Acosta, Inc. acquired Omnia Education Partnerships on Mar 7th '23.URL: https://www.nwahomepage.com/business/press-releases/cision/20230307NY33734/acosta-group-names-new-president-of-oep-mike-burrington/Date: 07/03/2023Type: HiresEvent: Acosta, Inc. hired Mike Burrington as President on Mar 7th '23.URL: https://www.nwahomepage.com/business/press-releases/cision/20230307NY33734/acosta-group-names-new-president-of-oep-mike-burrington/Date: 02/03/2023Type: HiresEvent: Acosta, Inc. hired Todd King as Chief Financial Officer on Mar 20th '23.URL: https://www.prnewswire.com/news-releases/acosta-group-names-new-chief-financial-officer-todd-king-301760423.htmlDate: 01/03/2023Type: HiresEvent: Acosta, Inc. hires King as Global Chief Financial Officer for People 2.0.URL: https://www.prnewswire.com/news-releases/acosta-group-names-new-chief-financial-officer-todd-king-301760423.htmlDate: 28/02/2023Type: LaunchesEvent: Acosta, Inc. launched Acosta Group on Feb 28th '23.URL: https://www.multivu.com/players/English/9143551-acosta-launches-acosta-group-collective-of-agencies/",Good,5
bunge.com,Manufacturing,1,23000,Type: *** Discover Insider ***Event: Director IT Partner Central Northern Europe And Russia And Black Sea of Bunge told us they were looking into 'moving to cloud within the next 9 - 12 months.Date: 05/11/2023Type: Expands Offices ToEvent: Bunge expands offices to Switzerland.URL: https://finance.yahoo.com/news/bunge-completes-move-place-incorporation-100000969.htmlDate: 29/10/2023Type: Is DevelopingEvent: Bunge is developing blockchain solution for the traceability of soy and deforestation-free products.URL: https://bigriverbids.com/story-bunge-cp-foods-develop-blockchain-solution-sustainable-soy-traceability-8-238035Date: 19/10/2023Type: Invests IntoEvent: Alaska Permanent Fund Corporation invests into Bunge $2.35M.URL: https://www.etfdailynews.com/2023/10/20/alaska-permanent-fund-corp-invests-2-35-million-in-bunge-limited-nysebg/Date: 17/10/2023Type: Partners WithEvent: Bunge partners with Ceres.URL: https://www.cardano.co.uk/industry-insights/collaboration-is-key-for-credible-climate-transition-plans/Date: 09/10/2023Type: Partners WithEvent: Kinney Recruiting LLC partners with Bunge.URL: https://abovethelaw.com/job/corporate-treasury-in-house-counsel-898811/,Excellent,5
rheem.com,Manufacturing,1,10000,Date: 31/10/2023Type: recognized_asEvent: Rheem Manufacturing Company recognized as 2024 AHR Expo Innovation Award Winner.URL: https://www.southernphc.com/uncategorized/rheem-earns-ahr-expo-innovation-award/Date: 29/10/2023Type: Receives AwardEvent: Rheem Manufacturing Company receives award AHR Expo Innovation.URL: https://www.prnewswire.com/news-releases/rheem-triton-light-duty-earns-ahr-expo-innovation-award-301970921.htmlDate: 28/10/2023Type: Retires FromEvent: Lomax retires from Rheem Manufacturing Company as manager.URL: https://nowhabersham.com/sherry-jeneanne-lomax/Date: 19/09/2023Type: Receives AwardEvent: Rheem Manufacturing Company receives award 218 PokerGO Tour.URL: https://www.cardplayer.com/poker-news/28203-chino-rheem-takes-down-event-4-at-2023-poker-mastersDate: 01/08/2023Type: LaunchesEvent: Rheem Manufacturing Company launched next generation of RTGH Series Super High Efficiency Condensing and RTG Series High Efficiency Non-Condensing tankless gas water heaters on Aug 1st '23.URL: https://menafn.com/1106761374/Rheem-Introduces-Rtgh-Series-Condensing-And-Rtg-Series-Non-Condensing-Tankless-Gas-Water-Heaters,Good,5
vailresorts.com,Hospitality,1,6900,"Date: 26/10/2023Type: launchesEvent: Vail Resorts, Inc. launches 'My Epic' app.URL: https://www.vaildaily.com/news/vail-resorts-launches-new-my-epic-app-replacing-the-need-for-a-physical-pass/Date: 23/10/2023Type: LaunchesEvent: Vail Resorts, Inc. launched Epic Pass on Jan 1st '08.URL: https://www.washingtonpost.com/travel/tips/best-ski-pass-multi-resort/Date: 23/10/2023Type: Has Issues WithEvent: Vail Resorts, Inc. has issues with federal labor law violations.URL: https://www.vaildaily.com/news/federal-court-wont-intervene-but-vail-resorts-labor-settlement-still-being-challenged/Date: 23/10/2023Type: Has Issues WithEvent: Vail Resorts, Inc. has issues with illegal work practices.URL: https://www.vaildaily.com/news/federal-court-wont-intervene-but-vail-resorts-labor-settlement-still-being-challenged/Date: 10/10/2023Type: AcquiresEvent: Vail Resorts, Inc. acquires Crans Montana.URL: https://www.snowsbest.com/vail-resorts-crans-montana/",Good,5
encompasshealth.com,Hospitals & Physicians Clinics,1,34900,"Date: 16/09/2023Type: invests_intoEvent: Putnam invests into Encompass Health Corp. $4.3M.URL: https://www.marketbeat.com/instant-alerts/nyse-ehc-sec-filing-2023-09-17/Date: 28/08/2023Type: Partners WithEvent: Piedmont Healthcare Incorporated partners with Encompass Health Corp..URL: https://www.wrbl.com/news/local-news/columbus/north-columbus-inpatient-rehabilitation-hospital-set-to-welcome-patients-in-a-few-weeks/Date: 17/07/2023Type: Partners WithEvent: St. Elizabeth’s Medical Center partnered with Encompass Health Corp. on Jan 1st '23.URL: https://www.semc.org/newsroom/2023-07-18/st-elizabeths-highlights-stroke-awareness-collaborativeDate: 28/06/2023Type: Increases Headcount ByEvent: Encompass Health Corp. increases headcount by 98.URL: https://www.hometownnewsvolusia.com/news/daytona-land-use-changes-will-allow-popstroke-city-furniture/article_1e111090-1116-11ee-ae3a-0fed451af020.htmlDate: 12/06/2023Type: Opens New LocationEvent: Encompass Health Corp. opened new location in Maryland, United States on Jun 1st '23.URL: https://blog.encompasshealth.com/press-releases/rehabilitation-hospital-of-bowie-a-60-bed-inpatient-rehabilitation-hospital-now-open-in-maryland",Good,5
novolex.com,Manufacturing,1,10000,"Date: 07/08/2023Type: partners_withEvent: Novolex partners with United Steel, Inc..URL: https://www.mrtakeoutbags.com/blog/imported-paper-shopping-bags-facing-antidumping-duty-in-u-sDate: 27/07/2023Type: LaunchesEvent: Novolex launched fifth annual sustainability report on Jul 27th '23.URL: https://www.bakemag.com/articles/17801-novolex-releases-fifth-annual-sustainability-reportDate: 27/07/2023Type: Is DevelopingEvent: Novolex is developing more sustainable packaging solutions.URL: https://www.bakemag.com/articles/17801-novolex-releases-fifth-annual-sustainability-reportDate: 04/07/2023Type: LaunchesEvent: Novolex launched Piranh on Jan 1st '22.URL: https://www.openpr.com/news/3112753/plastic-packaging-market-competitor-analysis-complete-studyDate: 28/06/2023Type: Sells Assets ToEvent: Novolex sells assets to New Mountain Capital.URL: https://www.costar.com/article/1922906432/new-mountain-capital-raises-825-million-for-real-estate-fund",Good,5
hearthsidefoods.com,Manufacturing,1,12000,"Date: 13/08/2023Type: retires_fromEvent: Ninfa retires from Hearthside Food Solutions, LLC.URL: https://www.putnamsentinel.com/obituaries/ninfa-nunez/article_33f98b90-3d20-11ee-8f92-7f24a9d0363b.htmlDate: 15/05/2023Type: HiresEvent: Hearthside Food Solutions, LLC hires Jimmy Justice as plant director.URL: https://www.bakingbusiness.com/articles/59090-on-the-move-food-manufacturingDate: 27/02/2023Type: Has Issues WithEvent: Hearthside Food Solutions, LLC has issues with hiring practices.URL: https://news.bloomberglaw.com/daily-labor-report/labor-health-agencies-launch-taskforce-to-tackle-child-laborDate: 19/12/2022Type: Signs New ClientEvent: DNV Healthcare USA Inc. signs new client Hearthside Food Solutions, LLC.URL: https://www.dnv.us/news/hearthside-food-solutions-238727",Good,4
caci.com,Business Services,1,22000,,Booster activated,0
finastra.com,Software,1,10000,Type: *** Discover Insider ***Event: Manager of Finastra told us they were looking into ' Compliance or regulatory.,Excellent,0
rutgers.edu,Education,1,14100,,Good,0
army.mil,Government,1,458718,,Good,0
caliber.com,Consumer Services,1,118,"Date: 23/10/2023Type: hiresEvent: Collision Care, Inc. hired Troy Mason as senior vice president on Oct 24th '23.URL: https://finance.yahoo.com/news/caliber-announces-troy-mason-senior-154600769.htmlDate: 19/10/2023Type: AcquiresEvent: Collision Care, Inc. acquired Autobodyinc on Oct 19th '23.URL: https://focusbankers.com/focus-investment-banking-represents-auto-body-innovations-inc-in-its-sale-to-caliber-collision/Date: 06/02/2023Type: PromotesEvent: Collision Care, Inc. promotes Todd Dillender to chief operating officer.URL: https://www.aftermarketinternational.com/en/202302077525/news/caliber-collision-has-a-new-coo.htmlDate: 08/12/2022Type: Partners WithEvent: Collision Care, Inc. partnered with TechForce Foundation on Nov 8th '22.URL: https://www.bodyshopbusiness.com/techforce-caliber-create-video-to-educate-youth-on-collision-careers/",Good,4
constellium.com,Manufacturing,1,12500,Type: *** Discover Insider ***Event: Sr Manager of Constellium told us they were looking into ' Backup for O365.,Excellent,0
fourseasons.com,Hospitality,1,43000,,Excellent,0
worthingtonindustries.com,Manufacturing,1,8400,"Type: *** Discover Insider ***Event: Sr Director IT Applications And PMO of Worthingtonindustries told us they were looking into 'Compliance or regulatory (security, ransomware concerns).",Good,0
belk.com,Retail,1,17000,,Excellent,0
rivian.com,Manufacturing,1,14122,,Booster activated,0
bain.com,Business Services,1,15000,Type: *** Discover Insider ***Event: HR Manager of Bain told us they were looking into 'Deal with routine employee requests more efficiently.Date: 24/10/2023Type: LaunchesEvent: Bain launches Black Entrepreneurship Growth.URL: https://finance.yahoo.com/news/blacknorth-initiative-bain-company-launch-123000794.htmlDate: 23/10/2023Type: HiresEvent: Bain hires Man Kinoshita as managing director.URL: https://www.bloomberg.com/news/articles/2023-10-24/bain-hires-ex-goldman-manager-for-asia-property-investingDate: 18/10/2023Type: LaunchesEvent: Bain launches sustainability report 'Closing the Climate Action Gap: Accelerating Decarbonization and the Energy Transition in MENA.URL: https://menews247.com/bain-company-announces-a-new-report/Date: 16/10/2023Type: Partners WithEvent: Bain partners with Microsoft Corp..URL: https://indianexpress.com/article/education/looking-for-a-suitable-machine-learning-course-here-are-10questions-answered-8249814/Date: 10/10/2023Type: Partners WithEvent: Bain partners with UiPath Inc..URL: https://aithority.com/machine-learning/bain-company-survey-and-uipath-report-ai-accelerates-rapid-large-scale-business-change/,Booster activated,5
taylor.com,Business Services,1,12000,,Excellent,0
brightview.com,Consumer Services,1,20300,,Good,0
xylem.com,Manufacturing,1,17800,Type: *** Discover Insider ***Event: Senior Project Manager Information Technology of Xylem told us they were looking into 'Operational improvements within the next 6 - 9 months.,Good,0
ta-petro.com,Retail,1,15000,,Good,0
wayfair.com,Retail,1,15745,,Booster activated,0
haleon.com,Manufacturing,1,24622,,Good,0
alight.com,Software,1,18000,"Type: *** Discover Insider ***Event: Senior Sourcing Manager IT of Alight, is interested in Storage Swiss: A 4-Tier Approach to Modern Data Protection - whitepaper in United States.",Excellent,0
smithfieldfoods.com,Manufacturing,1,60000,"Date: 23/10/2023Type: invests_intoEvent: Smithfield Foods Inc. invested into Ymcasenc $5K on Sep 24th '23.URL: https://www.clintonnc.com/news/91934/smithfield-foods-gives-5k-to-sampson-ymcaDate: 09/10/2023Type: Closes Offices InEvent: Smithfield Foods Inc. closed offices in Tar Heel, N.C. on Oct 16th '23.URL: https://www.porkbusiness.com/news/industry/smithfield-foods-close-pork-plant-charlotte-ncDate: 08/10/2023Type: Closes Offices InEvent: Smithfield Foods Inc. closed offices in Charlotte, North Carolina, United States on Oct 16th '23.URL: https://www.swineweb.com/latest-swine-news/smithfield-foods-to-close-pork-processing-plant-in-charlotte-north-carolina/Date: 08/10/2023Type: Closes Offices InEvent: Smithfield Foods Inc. closed offices in Charlotte, North Carolina, United States on Oct 9th '23.URL: https://www.prnewswire.com/news-releases/smithfield-foods-to-close-charlotte-plant-301951305.htmlDate: 02/10/2023Type: Partners WithEvent: Smithfield Foods Inc. partnered with Price Chopper on Oct 3rd '23.URL: https://finance.yahoo.com/news/smithfield-foods-donates-more-41-130208627.html",Good,5
td.com,Finance,1,80000,"Type: *** Discover Insider ***Event: Chief Information Security Officer of Td, is interested in 2021 Modern Backup Buyers' Guide - whitepaper_en in United States.",Booster activated,0
medline.com,Manufacturing,1,36000,,Booster activated,0
wolterskluwer.com,Business Services,1,20921,Type: *** Discover Insider ***Event: Director Of IT Engineering Services of Wolterskluwer told us they were looking into ' Cloud migration within the next 3-6 months.,Booster activated,0
ldc.com,Manufacturing,1,282,"Type: *** Discover Insider ***Event: Vice President North America Chief Information Officer And Global Head Of Execution Process And Systems of Ldc, is interested in 5-min demo: SaaS Data Protection in United States.",Good,0
atlascopco.com,Manufacturing,1,5000,Type: *** Discover Insider ***Event: HR Manager of Atlascopco told us they were looking into 'Digitalise HR and reduce the amount of paper.,Good,0
cma-cgm.com,Transportation,1,155000,Type: *** Discover Insider ***Event: Director of Cma Cgm told us they were looking into ' Data protection against Cyberthreats.,Good,0
fosterfarms.com,Manufacturing,1,12000,,Good,0
parexel.com,Business Services,1,20000,,Booster activated,0
lla.com,Telecommunications,1,11000,,Good,0
dukehealth.org,Hospitals & Physicians Clinics,1,23462,,Good,0
discounttire.com,Retail,1,26620,,Booster activated,0
campingworld.com,Retail,1,12942,Type: *** Discover Insider ***Event: IT Director Corporate Applications of Campingworld told us they were looking into 'Operational improvements.,Excellent,0
duke.edu,Education,1,30000,"Type: *** Discover Insider ***Event: Senior Information Technology Manager Clinical Solutions of Duke told us they were looking into 'Compliance or regulatory (security, ransomware concerns).",Good,0
aurora.org,Hospitals & Physicians Clinics,1,976,,Good,0
basspro.com,Retail,1,40000,,Booster activated,0
nike.com,Manufacturing,1,79100,Type: *** Discover Insider ***Event: ELC IT Manager of Nike told us they were looking into 'Hardware refresh within the next 6 - 9 months.,Excellent,0
avantorsciences.com,Manufacturing,1,14500,,Good,0
avera.org,Hospitals & Physicians Clinics,1,20500,"Type: *** Discover Insider ***Event: Director Of IT Service Management of Avera, is interested in Customer Reference Book   - whitepaper in United States.",Good,0
aldi.us,Retail,1,25000,,Excellent,0
simplot.com,Agriculture,1,13000,,Good,0
mycwt.com,Hospitality,1,18000,"Date: 08/10/2023Type: partners_withEvent: CWT partners with Traxo, Inc.URL: https://www.businesstravelexecutive.com/news/traxo-partners-with-cwt-to-capture-out-of-channel-bookingsDate: 27/09/2023Type: Has Issues WithEvent: CWT has issues with data breach.URL: https://www.turkestrauss.com/2023/09/26/cwt-travel-holdings-data-breach-investigation/?utm_source=rss&utm_medium=rss&utm_campaign=cwt-travel-holdings-data-breach-investigationDate: 18/07/2023Type: LaunchesEvent: CWT launches WhatsApp support channel.URL: https://www.businesstravelnews.com/Management/CWT-Introduces-WhatsApp-Support-Channel?utm_source=website&utm_medium=RSS&utm_campaign=btnrss2018Date: 16/07/2023Type: HiresEvent: CWT hired Karen Farrell as Senior Vice President – Global Talent & Total Rewards on Feb 16th '22.URL: https://travelelog.com/the-eastern-oriental-express-returns-to-southeast-asia/Date: 22/06/2023Type: Partners WithEvent: CWT partnered with Spotnana Inc on Jun 22nd '23.URL: https://www.businesstravelnews.com/Technology/CWT-Spotnana-Announce-Strategic-Partnership?utm_source=website&utm_medium=RSS&utm_campaign=btnrss2018",Booster activated,5
crackerbarrel.com,Hospitality,1,73000,"Date: 29/10/2023Type: partners_withEvent: Dollyparton partnered with Cracker Barrel Old Country Store , Inc. on Dec 25th '20.URL: https://www.mashed.com/277643/what-you-need-to-know-about-dolly-parton-and-cracker-barrels-collaborationDate: 29/10/2023Type: LaunchesEvent: Cracker Barrel Old Country Store , Inc. launches Rock Like Dolly.URL: https://www.prnewswire.com/news-releases/cracker-barrel-teams-with-dolly-parton-to-celebrate-rockin-new-rewards-program-301971356.htmlDate: 10/10/2023Type: Closes Offices InEvent: Cracker Barrel Old Country Store , Inc. closed offices in Oregon, United States on Oct 11th '23.URL: https://www.kgw.com/article/money/business/cracker-barrel-closes-beaverton-tualatin-bend-oregon-stores/283-377f5469-71b4-4556-add7-9f46e6afeda0Date: 24/09/2023Type: LaunchesEvent: Cracker Barrel Old Country Store , Inc. launched Cracker Barrel Rewards on Sep 20th '23.URL: http://knowledge.clinicsoftware.com/loyalty-newswireseptember-25-2023-the-wise-marketer/Date: 18/09/2023Type: LaunchesEvent: Cracker Barrel Old Country Store , Inc. launches loyalty program based on fan-favorite game.URL: https://kpel965.com/cracker-barrel-to-launch-new-loyalty-program-based-on-fan-favorite-game/",Excellent,5
centene.com,Insurance,1,67200,Date: 31/10/2023Type: partners_withEvent: Centene Corp. partners with Walmart.URL: https://ramaonhealthcare.com/centene-partners-with-walmart/Date: 31/10/2023Type: LeavesEvent: Hart left Centene Corp. on Oct 1st '23.URL: https://finance.yahoo.com/news/blue-cross-blue-shield-minnesota-140000107.htmlDate: 23/10/2023Type: HiresEvent: Centene Corp. hired Wade Rakes as chief growth officer on Jan 1st '11.URL: https://seekingalpha.com/news/4023079-centene-appoints-wade-rakes-as-its-chief-growth-officerDate: 23/10/2023Type: LeavesEvent: Gardenhire leaves Centene Corp..URL: https://www.digitalhealthglobal.com/ardent-appoints-veteran-healthcare-executives-to-senior-leadership-roles/Date: 18/10/2023Type: Has Issues WithEvent: Centene Corp. has issues with covid-era rules unwind.URL: https://www.stltoday.com/news/local/business/centene-faces-business-challenges-as-covid-era-rules-unwind/article_5e7dfd12-6dd9-11ee-8a99-e3ccf4643222.html,Excellent,5
tenneco.com,Manufacturing,1,73000,"Type: *** Discover Insider ***Event: IT Director of Tenneco, is interested in Silverton: : Andvanced Integration for Pure Storage - whitepaper in United States.Date: 19/09/2023Type: Signs New ClientEvent: Panattoni Development Co signs new client Tenneco.URL: https://eurobuildcee.com/en/news/33809-panattonis-high-tech-park-in-gliwiceDate: 21/08/2023Type: LaunchesEvent: Tenneco launched M14 range with HEX16mm and C-4001 on Aug 1st '22.URL: https://www.openpr.com/news/3175093/industrial-plugs-and-sockets-market-report-2023-trends-shareDate: 07/08/2023Type: LaunchesEvent: Tenneco launched electronic suspension technology system on Nov 1st '21.URL: https://www.openpr.com/news/3156151/advanced-suspension-control-system-market-analysis-trendsDate: 02/06/2023Type: AcquiresEvent: Tenneco acquired Heyring on Jan 1st '99.URL: https://www.roadandtrack.com/car-culture/a44069848/mclaren-proactive-chassis-control-citroen-wrc/Date: 21/12/2022Type: Sells Assets ToEvent: Tenneco sells assets to Oak Street Real Estate Capital LLC in the amount of $53M.URL: https://www.costar.com/article/177951312/huge-tenneco-auto-parts-plant-near-chicago-sells-for-53-million",Booster activated,5
fpl.com,"Energy, Utilities & Waste",1,9300,"Date: 16/10/2023Type: invests_into_assetsEvent: Florida Power & Light Company invests into assets: power transmission and distribution sites.URL: https://www.marketbeat.com/originals/renewable-energy-juiced-yield-make-nee-a-long-term-power-play/Date: 07/09/2023Type: Expands FacilitiesEvent: Florida Power & Light Company expanded facilities to Okeechobee, Florida, United States on Oct 11th '23.URL: https://www.wptv.com/news/protecting-paradise/florida-power-light-nears-completion-of-green-hydrogen-plant-in-okeechobee-countyDate: 25/08/2023Type: Partners WithEvent: Markcubanai partners with Florida Power & Light Company.URL: https://ts2.space/en/mark-cuban-foundation-ai-bootcamp-offers-underserved-high-school-students-a-chance-to-learn-ai-concepts/Date: 16/08/2023Type: Partners WithEvent: M-DCPS partners with Florida Power & Light Company.URL: https://theevreport.com/miami-dade-gets-first-zero-emission-school-busesDate: 16/08/2023Type: Partners WithEvent: Miami Airport partners with Florida Power & Light Company.URL: https://www.pcma.org/discover-the-meaningful-sustainability-efforts-in-greater-miami-and-miami-beach/",Good,5
republicservices.com,"Energy, Utilities & Waste",1,40000,,Excellent,0
zimmerbiomet.com,Manufacturing,1,18000,Type: *** Discover Insider ***Event: Manager of Zimmerbiomet told us they were looking into ' Backup/recovery performance unacceptable .Date: 13/10/2023Type: Has Issues WithEvent: Zimmer Inc. has issues with patent infringement.URL: https://nationalspinenetwork.org/lifenet-health-sues-zimmer-biomet-embody-for-patent-infringement/Date: 13/10/2023Type: Files Suit AgainstEvent: LifeNet Health files suit against Zimmer Inc..URL: https://nationalspinenetwork.org/lifenet-health-sues-zimmer-biomet-embody-for-patent-infringement/Date: 02/10/2023Type: Is DevelopingEvent: Zimmer Inc. is developing novel synthetic biomaterial.URL: https://www.beckersspine.com/biologics/57896-11-biologics-developments-in-q3.htmlDate: 26/09/2023Type: Identified As Competitor OfEvent: Edwards identified as competitor of Zimmer Inc..URL: https://www.reuters.com/business/healthcare-pharmaceuticals/edwards-lifesciences-targeted-eu-antitrust-raid-sept-19-sources-2023-09-26/Date: 25/09/2023Type: Invests IntoEvent: Northwest Bank & Trust Company invests into Zimmer Inc. $1.09M.URL: https://www.etfdailynews.com/2023/09/26/northwest-bank-trust-co-invests-1-09-million-in-zimmer-biomet-holdings-inc-nysezbh/,Booster activated,5
virtua.org,Hospitals & Physicians Clinics,1,14000,,Excellent,0
flex.com,Manufacturing,1,170000,Type: *** Discover Insider ***Event: Manager Information Technology of Flex told us they were looking into 'Infrastructure orchestration and automation within the next 3 - 6 months.,Booster activated,0
asus.com,Manufacturing,1,17000,,Good,0
sheetz.com,Retail,1,24000,,Excellent,0
txtav.com,Manufacturing,1,12000,,Booster activated,0
nomura.com,Finance,1,26585,Type: *** Discover Insider ***Event: Vice President of Nomura told us they were looking into ' Operational improvements.,Good,0
lanl.gov,Government,1,14000,,Booster activated,0
cleanharbors.com,"Energy, Utilities & Waste",1,20000,,Booster activated,0
acrisure.com,Insurance,1,14000,"Type: *** Discover Insider ***Event: Director IT of Acrisure, is interested in ESG: Enterprise Data Protection at Scale with  and Cisco - whitepaper in United States.",Good,0
shutterfly.com,Consumer Services,1,10000,,Excellent,0
