Domains,Industry,Event Count,Discover - Overall Score
gsma.com,Information Technology,0,Good
gymshark.com,Entertainment,5,Excellent
hcahealthcare.co.uk,Health Care,5,Good
hermitageclinic.ie,Health Care,0,Good
hilldickinson.com,Legal Services,3,Excellent
hm-treasury.gov.uk,Government,0,Good
hollandandbarrett.com,Health Care,0,Good
homerton.nhs.uk,Health Care,1,Good
homeserveplc.com,Legal Services,0,Good
hopwood.ac.uk,Education,0,Good
h-f.co.uk,Legal Services,0,Excellent
hs2.org.uk,Information Technology,5,Excellent
hss.com,Business Services,0,Excellent
hymans.co.uk,Finance,3,Excellent
hyperoptic.com,Information Technology,0,Excellent
idoxgroup.com,Computer and Technology,2,Excellent
ig.com,Finance,5,Good
iggroup.com,Finance,3,Excellent
imagination.com,Computer and Technology,0,Good
imgtec.com,Manufacturing,0,Good
idsplc.com,Health Care,0,Good
impellam.com,Legal Services,2,Good
inhealthgroup.com,Health Care,0,Excellent
invenio-solutions.com,Information Technology,0,Excellent
investec.com,Finance,2,Good
iomart.com,Information Technology,0,Good
iqstudent.com,Real Estate,0,Good
isobar.com,Marketing,1,Good
jagex.com,Computer and Technology,0,Good
jardinemotors.co.uk,Aviation,0,Good
jarrold.co.uk,Retail,0,Good
jct600.co.uk,Aviation,1,Good
jltgroup.com,Legal Services,0,Good
ljmu.ac.uk,Education,2,Excellent
joneseng.com,Engineering,3,Excellent
kbc.ie,Finance,0,Good
kingspan.com,Engineering,5,Excellent
knowsley.gov.uk,Government,0,Good
kpf.com,Engineering,3,Good
krestonreeves.com,Finance,0,Good
landsec.com,Real Estate,0,Good
lcp.uk.com,Finance,0,Good
lawsociety.ie,Legal Services,0,Good
lgcgroup.com,Health Care,0,Excellent
lichfielddc.gov.uk,Government,0,Good
linde.com,Chemicals,5,Excellent
linney.com,Marketing,0,Excellent
liveperson.com,Computer and Technology,4,Excellent
lloydsbanking.com,Finance,0,Good
ealing.gov.uk,Government,0,Good
lseg.com,Finance,5,Excellent
loopup.com,Information Technology,0,Good
lumiradx.com,Health Care,5,Excellent
ldh.nhs.uk,Health Care,0,Good
mandmdirect.com,Retail,1,Excellent
marksandspencer.com,Finance,5,Excellent
macdonaldhotels.co.uk,Health Care,0,Excellent
magnoxsites.com,Other,0,Good
majestic.co.uk,Other,0,Booster activated
malmaison.com,Health Care,0,Excellent
mamasandpapas.com,Retail,3,Excellent
man.com,Legal Services,5,Excellent
magairports.com,Aviation,2,Excellent
manutd.co.uk,Entertainment,0,Good
maples.com,Finance,5,Good
marexspectron.com,Finance,0,Good
marshalls.co.uk,Engineering,2,Excellent
mclh.co.uk,Engineering,5,Good
megger.com,Energy,4,Excellent
meggitt.com,Aviation,1,Excellent
menzies.co.uk,Finance,0,Good
metrobank.plc.uk,Finance,0,Good
mhllp.co.uk,Finance,0,Good
microlise.com,Information Technology,1,Good
midasgroup.co.uk,Engineering,0,Good
moneycorp.com,Finance,5,Excellent
mks.co.uk,Finance,0,Good
moto-way.co.uk,Health Care,0,Good
motorolasolutions.com,Information Technology,5,Excellent
moypark.com,Food and Beverage,5,Good
msxi.com,Aviation,0,Excellent
mundipharma.com,Health Care,0,Good
murex.com,Computer and Technology,0,Excellent
nbki.com,Finance,0,Good
nccgroup.com,Information Technology,2,Excellent
ncp.co.uk,Finance,0,Good
ncr.com,Information Technology,5,Excellent
nelcsu.nhs.uk,Health Care,0,Good
neptuneenergy.com,Energy,2,Excellent
newday.co.uk,Finance,2,Excellent
nfp.com,Legal Services,5,Excellent
eastamb.nhs.uk,Health Care,0,Good
nhsprofessionals.nhs.uk,Legal Services,1,Good
supplychain.nhs.uk,Health Care,0,Good
node4.co.uk,Information Technology,0,Good
node4.co.uk,Information Technology,0,Good
nomura.com,Finance,5,Excellent
nsft.nhs.uk,Health Care,0,Good
neas.nhs.uk,Health Care,5,Good
pat.nhs.uk,Health Care,0,Good
northerngas.co.uk,Other,0,Good
northernpowergrid.com,Other,0,Excellent
northerntrust.com,Finance,5,Excellent
nspcc.org.uk,Non-profit Organizations,0,Good
numatic.co.uk,Manufacturing,0,Excellent
oliver.agency,Marketing,0,Excellent
onefamily.com,Finance,5,Excellent
osb.co.uk,Finance,5,Excellent
opengi.co.uk,Information Technology,0,Good
osborneclarke.com,Legal Services,0,Excellent
oxfordhealth.nhs.uk,Health Care,0,Good
pacificlifere.com,Legal Services,3,Excellent
paragonbank.co.uk,Finance,3,Excellent
parkholidays.com,Entertainment,2,Good
paysafe.com,Finance,5,Excellent
peak-ryzex.com,Information Technology,0,Good
postcodelottery.co.uk,Non-profit Organizations,5,Good
pepsico.ie,Food and Beverage,0,Good
permanenttsb.ie,Finance,0,Excellent
permira.com,Finance,0,Good
petervardy.com,Aviation,0,Good
onward.co.uk,Retail,0,Excellent
phmg.com,Marketing,0,Good
piksel.com,Information Technology,0,Good
practiceplusgroup.com,Health Care,4,Good
preqin.com,Finance,1,Excellent
pah.nhs.uk,Health Care,0,Good
probrand.co.uk,Information Technology,0,Good
prosource.it,Information Technology,0,Good
prosource.it,Information Technology,0,Good
providentfinancial.com,Finance,0,Excellent
provident.co.uk,Finance,0,Good
phe.gov.uk,Health Care,0,Good
pulsant.com,Information Technology,0,Good
puntersouthallgroup.com,Finance,0,Good
qvc.com,Retail,5,Excellent
rebellion.co.uk,Computer and Technology,0,Good
redbeemedia.com,Marketing,0,Good
redcentricplc.com,Information Technology,0,Excellent
redrow.co.uk,Engineering,1,Excellent
regeneron.com,Health Care,5,Excellent
rendallandrittner.co.uk,Real Estate,0,Excellent
resqcs.co.uk,Information Technology,2,Good
rewardgateway.com,Information Technology,0,Good
rpc.co.uk,Legal Services,1,Excellent
rightmove.co.uk,Real Estate,5,Excellent
robertwalters.com,Legal Services,0,Good
rodericksdental.co.uk,Health Care,0,Good
rothschildandco.com,Finance,5,Good
rcgp.org.uk,Health Care,0,Good
royallondon.com,Finance,1,Excellent
ruh.nhs.uk,Health Care,0,Good
rpsgroup.com,Legal Services,5,Excellent
saffery.com,Finance,1,Excellent
sainsburysbank.co.uk,Finance,0,Good
sanctuary-housing.co.uk,Non-profit Organizations,0,Excellent
sapphiresystems.com,Information Technology,0,Good
schroders.com,Legal Services,5,Excellent
seadrill.com,Energy,0,Excellent
securetrustbank.com,Finance,0,Excellent
sega.co.uk,Computer and Technology,0,Excellent
sepura.com,Information Technology,0,Good
shawbrook.co.uk,Finance,2,Excellent
nhs.net,Health Care,5,Good
smallworldfs.com,Finance,0,Excellent
smartdcc.co.uk,Information Technology,0,Excellent
sms-plc.com,Other,0,Excellent
smythstoys.com,Retail,0,Good
solent.nhs.uk,Health Care,0,Good
secamb.nhs.uk,Health Care,0,Good
southco.com,Manufacturing,3,Excellent
spacenk.com,Retail,0,Good
sparrowsgroup.com,Energy,1,Good
sis.tv,Entertainment,0,Excellent
standrew.co.uk,Health Care,0,Good
sthk.nhs.uk,Health Care,1,Good
hje.org.uk,Health Care,0,Good
sja.org.uk,Health Care,0,Excellent
stmarys.ac.uk,Education,0,Good
talktalk.co.uk,Information Technology,0,Good
tavi-port.nhs.uk,Health Care,0,Good
teneo.com,Legal Services,5,Excellent
tescobank.com,Finance,0,Excellent
aacorporation.com,Aviation,0,Good
theaccessgroup.com,Computer and Technology,5,Excellent
cambiangroup.com,Health Care,0,Excellent
thelondonclinic.co.uk,Health Care,0,Excellent
lse.ac.uk,Education,2,Good
rcseng.ac.uk,Health Care,0,Good
thebigword.com,Information Technology,0,Good
thinkmoney.co.uk,Finance,0,Excellent
tobar.co.uk,Wholesale ,0,Good
tmhcc.com,Legal Services,0,Excellent
towergateinsurance.co.uk,Legal Services,1,Good
trafford.gov.uk,Government,0,Good
travelex.com,Finance,1,Good
turning-point.co.uk,Health Care,0,Excellent
unispace.com,Computer and Technology,4,Good
uhs.nhs.uk,Health Care,1,Good
cumbria.ac.uk,Education,2,Excellent
plymouth.ac.uk,Education,2,Excellent
port.ac.uk,Education,1,Good
arts.ac.uk,Education,1,Excellent
westminster.ac.uk,Education,5,Excellent
york.ac.uk,Education,0,Excellent
valeofoods.ie,Food and Beverage,1,Excellent
vaultexuk.com,Finance,0,Good
vernacare.com,Health Care,0,Good
vistra.uk,Legal Services,0,Good
vixtechnology.com,Information Technology,1,Good
warwickshire.gov.uk,Government,0,Good
water-plus.co.uk,Other,0,Good
wecl.co.uk,Manufacturing,0,Good
sanger.ac.uk,Other,0,Excellent
wessexwater.co.uk,Other,5,Excellent
whitecase.com,Legal Services,5,Booster activated
willmottdixon.co.uk,Engineering,5,Excellent
yodel.co.uk,Information Technology,3,Good
yourhealthcare.org,Health Care,0,Good
zellis.com,Computer and Technology,4,Good
argenta.be,Finance,0,Good
daftrucks.com,Manufacturing,1,Good
ebrc.com,Information Technology,0,Good
elia.be,Energy,3,Excellent
euroclear.com,Finance,5,Excellent
ec.europa.eu,Government,0,Good
mammoet.com,Information Technology,0,Good
nibc.com,Finance,0,Excellent
telenet.be,Information Technology,0,Good
brusselsairport.be,Other,0,Good
uzgent.be,Health Care,0,Good
marriott.com,Health Care,0,Good
anwb.nl,Other,0,Good
beddeleem.be,Engineering,0,Good
bics.com,Information Technology,1,Excellent
bnpparibas.com,Finance,0,Excellent
bridgestone.eu,Manufacturing,0,Excellent
champ.aero,Information Technology,2,Good
eu.ccb.com,Finance,0,Good
clearstream.com,Finance,5,Excellent
cognizant.com,Information Technology,1,Excellent
coronadirect.be,Legal Services,0,Good
covestro.com,Chemicals,5,Good
creos.net,Other,0,Good
dekabank.lu,Finance,0,Good
deka.lu,Finance,0,Good
dictu.nl,Information Technology,0,Good
dxc.com,Information Technology,5,Booster activated
elvingerhoss.lu,Other,0,Good
ingrammicro.com,Information Technology,5,Booster activated
evonik.com,Chemicals,5,Excellent
fedex.com,Information Technology,5,Excellent
flynth.nl,Finance,0,Good
fugro.com,Food and Beverage,1,Excellent
smallingerland.nl,Government,0,Good
kuehne-nagel.com,Information Technology,3,Excellent
lombardinternational.com,Finance,0,Excellent
lux-airport.lu,Other,0,Good
lvnl.nl,Other,0,Good
mokveld.com,Energy,0,Good
nbb.be,Finance,4,Excellent
ncia.nato.int,Government,0,Good
ncia.nato.int,Other,0,Good
nedap.com,Information Technology,1,Excellent
staff.win.be,Other,0,Good
nethys.be,Other,0,Good
olvz-aalst.be,Health Care,0,Good
jandenul.com,Engineering,0,Excellent
onelife.eu.com,Legal Services,0,Good
orange.com,Information Technology,5,Excellent
europarl.europa.eu,Government,0,Good
paulwurth.com,Other,0,Excellent
boels.nl,Manufacturing,0,Good
brabant.nl,Government,0,Good
rbc.com,Finance,5,Booster activated
reggeborgh.nl,Finance,0,Good
reggeborghvastgoed.nl,Other,0,Good
rocmondriaan.nl,Education,0,Good
sibelco.com,Other,1,Excellent
simac.com,Information Technology,0,Excellent
sgcib.com,Finance,0,Good
stater.nl,Finance,0,Good
stib-mivb.be,Information Technology,0,Good
swift.com,Finance,5,Excellent
tucrail.be,Engineering,0,Good
alfen.com,Manufacturing,1,Excellent
vertom.nl,Other,0,Good
vlm.be,Government,0,Good
ypto.be,Information Technology,0,Good
zorgenzekerheid.nl,Legal Services,0,Good
50hertz.com,Other,1,Excellent
generali.de,Legal Services,0,Good
nl.abnamro.com,Finance,0,Good
aegon.nl,Finance,0,Good
agsairports.co.uk,Other,0,Good
aldi.co.uk,Retail,5,Excellent
rekenkamer.nl,Government,0,Good
hilti.com,Other,4,Excellent
awginc.com,Other,0,Excellent
arc-intl.com,Other,1,Good
arcelormittal.com,Other,5,Excellent
arkema.com,Chemicals,5,Booster activated
axa.lu,Legal Services,0,Good
axa.de,Legal Services,0,Excellent
hotel-bb.com,Health Care,0,Good
bat.com,Food and Beverage,5,Excellent
babcockinternational.com,Other,3,Excellent
baltimoreaircoil.be,Manufacturing,0,Good
bam.com,Engineering,3,Good
bcl.lu,Finance,0,Good
barclaycard.co.uk,Finance,4,Good
barco.com,Energy,5,Excellent
barry-callebaut.com,Food and Beverage,5,Excellent
baywa-re.com,Other,0,Good
bcamarketplace.com,Manufacturing,0,Good
bdo.nl,Finance,0,Good
ipsen.com,Other,5,Excellent
bicworld.com,Retail,0,Good
bitmarck.de,Information Technology,0,Excellent
bnymellon.com,Finance,5,Excellent
bollore.com,Information Technology,4,Good
bpost.be,Information Technology,0,Good
brenntag.com,Chemicals,2,Excellent
britishmuseum.org,Other,3,Excellent
burda-forward.de,Marketing,0,Good
calmac.co.uk,Information Technology,0,Good
capeplc.com,Energy,0,Good
capita.co.uk,Information Technology,0,Good
zeiss.com,Manufacturing,5,Excellent
groupecat.com,Information Technology,0,Good
centrisag.ch,Information Technology,0,Good
cnp.fr,Legal Services,5,Excellent
coop.co.uk,Retail,1,Excellent
cosnova.com,Retail,0,Good
criteo.com,Other,5,Excellent
culina.co.uk,Other,5,Good
dalkia.fr,Other,1,Good
deutschebahn.com,Information Technology,5,Excellent
deka.de,Finance,0,Excellent
delifrance.com,Food and Beverage,0,Good
dw.com,Other,5,Good
dlr.de,Other,0,Good
deutz.com,Manufacturing,3,Excellent
dz.nl,Health Care,0,Good
duo.nl,Government,0,Good
lhoist.com,Other,0,Booster activated
sncf.com,Information Technology,0,Good
dssmith.com,Information Technology,5,Excellent
akzonobel.com,Engineering,5,Excellent
dvbbank.com,Finance,0,Excellent
eastriding.gov.uk,Government,0,Good
easyjet.com,Other,5,Excellent
edr.com,Finance,0,Good
efgbank.com,Finance,0,Good
enexis.nl,Energy,0,Good
enzazaden.nl,Food and Beverage,0,Good
essilor.com,Other,5,Excellent
etas.com,Manufacturing,1,Excellent
eurocontrol.int,Other,0,Good
krones.com,Manufacturing,0,Excellent
fiege.com,Information Technology,0,Excellent
fielmann.com,Retail,0,Good
fivesgroup.com,Engineering,5,Excellent
foyer.lu,Legal Services,2,Excellent
francetelevisions.fr,Marketing,0,Good
franke.com,Retail,4,Good
freudenberg.com,Manufacturing,5,Excellent
frieslandcampina.com,Food and Beverage,0,Excellent
funkemedien.de,Other,0,Good
politie.nl,Other,0,Good
ruv.de,Legal Services,0,Excellent
gtai.com,Other,0,Good
gfk.com,Information Technology,5,Excellent
gi-de.com,Information Technology,3,Excellent
givenchy.com,Retail,4,Excellent
gkvi.de,Information Technology,0,Good
grenke.de,Finance,0,Excellent
ranstad.ca,Other,0,Good
hager.de,Manufacturing,0,Good
haulotte.com,Engineering,0,Good
heel.com,Other,0,Good
holcim.com,Engineering,5,Excellent
icade.fr,Engineering,0,Good
iddink.nl,Information Technology,0,Good
imd.org,Education,2,Excellent
cabinetoffice.gov.uk,Government,0,Good
ing.be,Finance,0,Good
inria.fr,Other,5,Good
itu.int,Information Technology,5,Excellent
justid.nl,Information Technology,0,Good
knauf.com,Engineering,3,Excellent
boskalis.com,Engineering,0,Good
kpmg.com,Finance,5,Excellent
kpmg.lu,Finance,0,Excellent
kraftheinz.com,Food and Beverage,3,Good
pm-international.com,Manufacturing,0,Good
rimowa.com,Other,4,Good
lesechos.fr,Other,0,Good
list.lu,Other,4,Good
marel.com,Manufacturing,5,Excellent
markerstudy.com,Legal Services,0,Good
medtronic.com,Other,5,Booster activated
miele.de,Retail,0,Good
mtu.de,Other,5,Good
socmut.be,Health Care,0,Good
nnip.com,Finance,3,Good
nutreco.com,Food and Beverage,0,Excellent
idemia.com,Information Technology,5,Excellent
ohpen.com,Information Technology,1,Good
ores.be,Other,0,Good
ores.net,Other,0,Good
osram.de,Manufacturing,0,Good
payone.com,Finance,0,Good
renson.be,Engineering,0,Good
rewe-group.com,Retail,0,Excellent
ronalgroup.com,Manufacturing,0,Excellent
deliveroo.co.uk,Information Technology,5,Excellent
sacem.fr,Entertainment,0,Good
samsonite.com,Retail,5,Good
sckcen.be,Other,2,Good
sercel.com,Manufacturing,2,Good
suez.com,Other,5,Good
shvenergy.com,Energy,3,Good
sbdinc.com,Retail,0,Good
vionfood.com,Food and Beverage,0,Good
axians.com,Information Technology,1,Excellent
tarkett.com,Engineering,1,Good
thalys.com,Information Technology,0,Good
geh.nhs.uk,Health Care,0,Good
toyota.be,Manufacturing,3,Good
transavia.com,Other,0,Good
umcutrecht.nl,Health Care,0,Good
uniper.energy,Energy,5,Excellent
unive.nl,Legal Services,0,Good
umusic.com,Entertainment,0,Good
uu.nl,Other,0,Good
virbac.com,Other,5,Excellent
vitens.nl,Other,0,Good
vrt.be,Marketing,0,Good
wiggle.co.uk,Retail,0,Good
wilko.com,Retail,5,Excellent
wincanton.co.uk,Information Technology,0,Excellent
worldpay.com,Information Technology,0,Good
wspgroup.com,Engineering,0,Good
yell.com,Other,0,Good
nijsmellinghe.nl,Health Care,0,Good
zilverenkruis.nl,Legal Services,0,Good
zooplus.de,Retail,0,Excellent
abagri.com,Food and Beverage,3,Good
abfoods.com,Food and Beverage,0,Good
ab-inbev.com,Retail,5,Booster activated
aboutyou.de,Information Technology,0,Excellent
accor.com,Health Care,5,Excellent
adeccogroup.com,Other,0,Excellent
adidas-group.com,Retail,5,Excellent
admiralins.com,Finance,0,Booster activated
affinitywater.co.uk,Other,5,Excellent
aginsurance.be,Legal Services,0,Good
ag2rlamondiale.fr,Legal Services,0,Good
aib.ie,Finance,5,Excellent
bp.com,Energy,3,Good
airliquide.com,Chemicals,5,Excellent
airbus.com,Other,5,Good
aholddelhaize.com,Retail,5,Booster activated
ahold.com,Retail,0,Good
allianz-partners.com,Legal Services,5,Good
altran.com,Information Technology,0,Good
alungriffiths.co.uk,Engineering,0,Good
amadeus.com,Information Technology,0,Good
amey.co.uk,Engineering,0,Good
ameydefenceservices.co.uk,Engineering,0,Good
anz.com,Finance,0,Good
xelians.fr,Other,0,Good
wallix.com,Other,0,Good
asml.com,Manufacturing,5,Excellent
audi.de,Manufacturing,5,Good
renault.com,Manufacturing,5,Good
autotrader.co.uk,Information Technology,0,Good
aviva.com,Finance,5,Excellent
anglianwater.co.uk,Other,0,Good
axa-im.com,Finance,5,Booster activated
axa.be,Legal Services,0,Good
bbraun.com,Other,0,Excellent
intradef.gouv.fr,Other,0,Good
bakernet.com,Other,0,Good
bakerhughes.com,Energy,5,Good
bamnuttall.co.uk,Engineering,0,Good
degroof.be,Finance,0,Good
bankofengland.co.uk,Finance,4,Excellent
banque-france.fr,Finance,4,Good
barclays.com,Finance,5,Good
basf.com,Chemicals,5,Excellent
bkb.ch,Finance,0,Excellent
bayer.com,Chemicals,5,Excellent
bbc.co.uk,Marketing,5,Good
balfourbeatty.com,Engineering,5,Excellent
orange.com,Information Technology,5,Good
hq.nato.int,Other,0,Good
belron.com,Manufacturing,0,Excellent
bet365.com,Other,5,Excellent
bgl.lu,Finance,0,Good
biomerieux.com,Health Care,5,Good
bls.ch,Information Technology,0,Good
bmwgroup.com,Manufacturing,5,Excellent
bol.com,Retail,0,Good
booker.co.uk,Other,0,Good
bosch.com,Information Technology,5,Good
bouygues-construction.com,Engineering,1,Good
bpce-it.fr,Information Technology,0,Good
britishcouncil.org,Non-profit Organizations,5,Good
britishsugar.co.uk,Food and Beverage,2,Good
britvic.co.uk,Retail,0,Good
bshg.com,Retail,0,Good
bundeswehr.org,Government,0,Good
bwi.de,Information Technology,0,Good
ca-cib.com,Finance,5,Excellent
carrefour.com,Retail,5,Excellent
checkout.com,Finance,5,Excellent
chubb.com,Legal Services,5,Excellent
cmck.com,Other,0,Good
cofcointernational.com,Food and Beverage,0,Excellent
colruyt.be,Retail,0,Good
colt.net,Information Technology,1,Excellent
commerzreal.de,Finance,0,Good
continental-corporation.com,Manufacturing,0,Good
corner.ch,Finance,0,Good
interieur.gouv.fr,Government,0,Good
daimler.com,Manufacturing,5,Excellent
danone.com,Food and Beverage,0,Excellent
3ds.com,Information Technology,5,Excellent
dbschenker.com,Information Technology,0,Good
mil.be,Other,0,Good
deloitte.fr,Engineering,0,Good
deloitte.com,Engineering,5,Excellent
chanel.com,Retail,5,Excellent
db.com,Finance,5,Excellent
telekom.de,Information Technology,4,Good
dhl.com,Information Technology,5,Excellent
ditis.de,Information Technology,0,Good
draeger.com,Other,0,Excellent
dsm.com,Chemicals,5,Excellent
dufry.com,Retail,5,Excellent
eirgrid.com,Other,0,Good
eurofins.com,Health Care,5,Booster activated
europ-assistance.com,Legal Services,1,Excellent
eib.org,Finance,5,Excellent
eutelsat.com,Information Technology,0,Good
evs.com,Marketing,5,Excellent
faurecia.com,Manufacturing,5,Excellent
cix-a.com,Manufacturing,0,Good
firmenich.com,Chemicals,4,Booster activated
framatome.com,Energy,5,Excellent
fmc-ag.com,Health Care,0,Good
galderma.com,Other,0,Good
gea.com,Manufacturing,1,Good
gehe.de,Other,0,Good
geodis.com,Information Technology,5,Excellent
gec.io,Information Technology,0,Good
givaudan.com,Chemicals,5,Excellent
grammer.com,Manufacturing,0,Good
groupemutuel.ch,Legal Services,0,Excellent
harrywinston.com,Retail,0,Good
portofrotterdam.com,Other,5,Excellent
turbomeca.com,Other,0,Good
hermesemployeur.com,Retail,0,Good
hubone.fr,Information Technology,0,Good
hcuge.ch,Health Care,0,Good
imerys.com,Other,5,Good
iwc.com,Retail,0,Good
jnj.com,Health Care,5,Excellent
its.jnj.com,Health Care,0,Good
justeattakeaway.com,Information Technology,3,Good
bssi.fr,Information Technology,0,Good
keolis.com,Information Technology,1,Good
kiabi.com,Retail,1,Excellent
kone.com,Manufacturing,5,Excellent
kpn.com,Information Technology,0,Good
kuka.com,Manufacturing,0,Good
loreal.com,Retail,5,Excellent
lbbw.de,Finance,0,Good
helaba.de,Finance,0,Good
legrand.fr,Manufacturing,0,Good
majorel.com,Other,0,Excellent
msccruises.com,Other,5,Good
ns.nl,Information Technology,0,Good
nestle.com,Food and Beverage,5,Excellent
normagroup.com,Manufacturing,2,Good
nouryon.com,Chemicals,5,Good
oriflame.com,Retail,0,Excellent
post.lu,Information Technology,0,Good
principality.co.uk,Finance,2,Excellent
prorail.nl,Information Technology,0,Good
qa.com,Education,1,Excellent
quintet.com,Finance,4,Good
rehau.com,Manufacturing,5,Excellent
rheinmetall.com,Other,0,Good
richemont.com,Retail,5,Excellent
robeco.nl,Finance,0,Good
rwe.de,Other,0,Good
saint-gobain.com,Engineering,5,Excellent
samson.de,Manufacturing,0,Good
sap.com,Information Technology,5,Excellent
schaeffler.com,Engineering,0,Good
se.com,Manufacturing,5,Excellent
schott.com,Other,0,Good
henkel.com,Retail,5,Excellent
sdx.com,Finance,0,Good
sedgwick.com,Legal Services,0,Good
sfr.com,Information Technology,0,Good
siemens.com,Manufacturing,5,Excellent
six-group.com,Finance,2,Booster activated
sodexo.com,Other,5,Good
spie.com,Information Technology,5,Good
swiss.com,Other,5,Good
swisscard.ch,Finance,0,Good
swisscom.ch,Information Technology,1,Excellent
tecan.com,Health Care,1,Booster activated
thalesgroup.com,Information Technology,5,Good
thalesaleniaspace.com,Other,0,Good
chaumet.com,Information Technology,0,Good
burberryplc.co.uk,Retail,0,Good
thyssenkrupp.com,Engineering,5,Good
total.com,Energy,0,Good
tcs.ch,Retail,1,Excellent
toyota-europe.com,Manufacturing,5,Excellent
t-systems.com,Information Technology,0,Booster activated
tui.com,Other,0,Good
tweedekamer.nl,Government,0,Good
ucb.com,Other,5,Excellent
ucb.com,Manufacturing,5,Excellent
ubp.com,Finance,1,Excellent
valeo.com,Manufacturing,5,Good
veolia.com,Other,5,Good
vinci-energies.com,Information Technology,5,Excellent
visa.com,Information Technology,0,Good
wsp.com,Engineering,0,Good
williamhill.com,Other,0,Good
wolseley.co.uk,Engineering,0,Good
wolseley.com,Engineering,0,Good
wolterskluwer.com,Information Technology,5,Good
woodgroup.com,Energy,0,Good
wpp.com,Other,5,Excellent
zetes.com,Information Technology,0,Good
zkb.ch,Finance,0,Good
dsd.no,Finance,0,Good
aegon.com,Finance,0,Good
rosenberger.com,Manufacturing,0,Excellent
ing.com,Finance,5,Excellent
genmab.com,Health Care,0,Good
azelis.com,Chemicals,5,Excellent
ucn.dk,Education,0,Good
aibel.com,Energy,0,Excellent
obvion.nl,Finance,0,Good
belfius.be,Finance,0,Good
sampension.dk,Legal Services,0,Good
signify.com,Manufacturing,0,Excellent
vebego.com,Other,0,Excellent
norgesgruppen.no,Retail,0,Good
bekaertdeslee.com,Retail,0,Excellent
unic.ac.cy,Education,0,Good
elgeka.gr,Food and Beverage,0,Good
mediq.com,Health Care,2,Excellent
satair.com,Other,1,Excellent
maltairport.com,Other,0,Good
perrigo.com,Retail,5,Excellent
dsv.com,Information Technology,1,Excellent
ahli.com,Finance,0,Good
igmresins.com,Chemicals,0,Good
dovista.com,Engineering,0,Good
mn.nl,Finance,0,Good
pggm.nl,Finance,0,Excellent
bmw.at,Manufacturing,0,Good
trimco-group.com,Other,0,Good
vasco.eu,Manufacturing,0,Good
ltm.com.mt,Other,0,Good
attentia.be,Other,0,Good
wacker.com,Manufacturing,0,Excellent
nbg.gr,Finance,0,Good
flowtraders.com,Finance,0,Excellent
zerto.com,Information Technology,5,Excellent
mazars.nl,Finance,0,Good
perfettivanmelle.com,Food and Beverage,0,Good
utrecht.nl,Government,1,Good
zuyderland.nl,Health Care,0,Good
metrixlab.com,Other,0,Excellent
unilever.com,Retail,5,Excellent
intesasanpaolobank.al,Finance,0,Good
proximus.com,Information Technology,5,Good
landestheater-linz.at,Government,0,Good
yara.com,Food and Beverage,5,Excellent
zellstoff-poels.at,Food and Beverage,0,Good
egger.com,Food and Beverage,0,Good
deltagalil.com,Retail,0,Excellent
seb.se,Finance,0,Excellent
nordea.com,Finance,0,Excellent
devolksbank.nl,Finance,0,Good
dskbank.bg,Finance,0,Good
apsbank.com.mt,Finance,0,Good
postbank.bg,Finance,0,Good
bcr.ro,Finance,0,Good
ingjobs.lu,Finance,0,Good
atticabank.gr,Finance,0,Good
corbion.com,Health Care,1,Good
roche.com,Health Care,5,Booster activated
umicore.com,Chemicals,5,Excellent
jotun.no,Chemicals,0,Good
etexgroup.com,Engineering,2,Excellent
porr-group.com,Engineering,0,Good
cfe.be,Engineering,0,Good
derome.se,Engineering,0,Good
preem.se,Energy,0,Good
akerbp.com,Energy,1,Excellent
maerskdrilling.com,Energy,2,Excellent
semcomaritime.com,Energy,5,Excellent
archerwell.com,Energy,0,Excellent
cegal.com,Energy,0,Excellent
sbmoffshore.com,Energy,4,Excellent
alliander.com,Energy,0,Good
svk.se,Energy,0,Good
nordiskfilm.com,Entertainment,0,Good
kaizengaming.com,Entertainment,0,Good
nn-group.com,Finance,5,Excellent
adyen.com,Finance,5,Excellent
klarna.com,Finance,5,Excellent
soderbergpartners.se,Finance,0,Excellent
payoneer.com,Finance,5,Booster activated
medirect.com.mt,Finance,0,Good
ubs.com,Finance,5,Excellent
nasdaq.com,Finance,5,Booster activated
pwc.com,Finance,5,Excellent
alterdomus.com,Finance,1,Excellent
apg.nl,Finance,1,Excellent
formue.no,Finance,0,Good
dnb.no,Finance,0,Good
carnegie.se,Finance,0,Good
leitnerleitner.com,Finance,0,Good
vivawallet.com,Finance,0,Good
arlafoods.com,Food and Beverage,0,Good
at.redbull.com,Food and Beverage,0,Good
jacobsdouweegberts.com,Food and Beverage,0,Good
photiadesgroup.com,Food and Beverage,0,Good
systembolaget.se,Food and Beverage,0,Good
dnvgl.com,Government,0,Good
rdw.nl,Government,0,Good
minszw.nl,Government,0,Good
epo.org,Government,0,Excellent
vlaanderen.be,Government,0,Good
statistik.gv.at,Government,0,Good
skane.se,Health Care,0,Good
aleris.se,Health Care,0,Good
pihlajalinna.fi,Health Care,0,Good
siza.nl,Health Care,0,Good
regionh.dk,Health Care,0,Good
falck.com,Health Care,1,Excellent
asz.nl,Health Care,0,Good
attendo.se,Health Care,0,Good
maasstadziekenhuis.nl,Health Care,0,Good
nki.nl,Health Care,0,Good
nwz.nl,Health Care,0,Good
rivas.nl,Health Care,0,Good
onemed.com,Health Care,0,Good
